,district_name,grades_inperson_model,grades_hybrid_model,grades_remote_model,predominant_model,organization_type,reporting_period,update_date,alliance_district,remote,remote_num,hybrid_num,inperson_num,R,H,I,predom,city
1027,Salisbury School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Salisbury, CT"
1028,Scotland School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6",Most/All Grades Fully Remote,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,1,8,1,1,1.0,0.0,0.0,1.0,"Scotland, CT"
1029,Seymour School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,1,14,1,1,1.0,0.0,0.0,1.0,"Seymour, CT"
1030,Sharon School District,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,1,9,0.0,0.0,3.0,3.0,"Sharon, CT"
1031,Shelton School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,1,14,1,1,1.0,0.0,0.0,1.0,"Shelton, CT"
1032,Sherman School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Sherman, CT"
1033,Simsbury School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"Simsbury, CT"
1034,Somers School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,7,7,0.0,0.0,0.0,0.0,"Somers, CT"
1036,Southington School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"Southington, CT"
1037,South Windsor School District,"K, g1, g2, g3, g4, g5","PK, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,8,6,0.0,2.0,0.0,2.0,"South Windsor, CT"
1038,Sprague School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",Most/All Grades Fully Remote,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,1,10,1,1,1.0,0.0,0.0,1.0,"Sprague, CT"
1039,Stafford School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Stafford, CT"
1040,Stamford School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,Alliance,0,1,14,1,0.0,2.0,0.0,2.0,"Stamford, CT"
1045,Sterling School District,"PK, K, g1, g2, g4, g5, g6, g7, g8",N/A,g3,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,1,9,0.0,0.0,3.0,3.0,"Sterling, CT"
