,district_name,grades_inperson_model,grades_hybrid_model,grades_remote_model,predominant_model,organization_type,reporting_period,update_date,alliance_district,remote,remote_num,hybrid_num,inperson_num,R,H,I,predom,city
2589,Canton School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Canton, CT"
2591,Chaplin School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Chaplin, CT"
2592,Cheshire School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"Cheshire, CT"
2594,Chester School District,"K, g1, g2, g3, g4, g5, g6",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,7,0.0,0.0,3.0,3.0,"Chester, CT"
2595,Clinton School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Clinton, CT"
2596,Colchester School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Colchester, CT"
2597,Colebrook School District,"K, g1, g2, g3, g4, g5, g6",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,7,0.0,0.0,3.0,3.0,"Colebrook, CT"
2598,Columbia School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,10,1,0.0,2.0,0.0,2.0,"Columbia, CT"
2599,Cornwall School District,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,9,0.0,0.0,3.0,3.0,"Cornwall, CT"
2600,Coventry School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Coventry, CT"
2601,Cromwell School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,4,10,1,0.0,2.0,0.0,2.0,"Cromwell, CT"
2603,Danbury School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Alliance,0,14,1,1,1.0,0.0,0.0,1.0,"Danbury, CT"
2604,Darien School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Darien, CT"
2605,Deep River School District,"K, g1, g2, g3, g4, g5, g6",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,7,0.0,0.0,3.0,3.0,"Deep River, CT"
2607,Derby School District,"PK, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,K,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Opportunity,0,1,1,13,0.0,0.0,3.0,3.0,"Derby, CT"
2609,Eastford School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Eastford, CT"
2610,East Granby School District,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,13,0.0,0.0,3.0,3.0,"East Granby, CT"
2611,East Haddam School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"East Haddam, CT"
2612,East Hampton School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"East Hampton, CT"
2613,East Hartford School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Opportunity,0,1,7,7,0.0,0.0,0.0,0.0,"East Hartford, CT"
2615,East Haven School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Opportunity,0,1,1,14,0.0,0.0,3.0,3.0,"East Haven, CT"
2617,East Lyme School District,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,13,1,0.0,2.0,0.0,2.0,"East Lyme, CT"
2620,Easton School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Easton, CT"
2622,East Windsor School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Alliance,0,1,14,1,0.0,2.0,0.0,2.0,"East Windsor, CT"
2623,Ellington School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Ellington, CT"
2624,Enfield School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Enfield, CT"
2626,Essex School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Essex, CT"
2627,Fairfield School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Fairfield, CT"
2629,Farmington School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"Farmington, CT"
2630,Franklin School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Franklin, CT"
2632,Glastonbury School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,7,7,0.0,0.0,0.0,0.0,"Glastonbury, CT"
2633,Granby School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Granby, CT"
2634,Greenwich School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"Greenwich, CT"
2636,Griswold School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,14,1,1,1.0,0.0,0.0,1.0,"Griswold, CT"
2637,Groton School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Alliance,0,4,10,1,0.0,2.0,0.0,2.0,"Groton, CT"
2638,Guilford School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Guilford, CT"
2639,Hamden School District,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Alliance,0,1,13,1,0.0,2.0,0.0,2.0,"Hamden, CT"
2643,Hampton School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Hampton, CT"
2644,Hartford School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9","g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Opportunity,0,1,3,11,0.0,0.0,3.0,3.0,"Hartford, CT"
2651,Hartland School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Hartland, CT"
2652,Hebron School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Hebron, CT"
2654,Kent School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Kent, CT"
2655,Killingly School District,"PK, K, g1","g2, g3, g4","g5, g6, g7, g8, g9, g10, g11, g12",,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Alliance,0,8,3,3,1.0,0.0,0.0,1.0,"Killingly, CT"
2658,Lebanon School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Lebanon, CT"
2659,Ledyard School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Ledyard, CT"
2660,Lisbon School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,10,1,0.0,2.0,0.0,2.0,"Lisbon, CT"
2661,Litchfield School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Litchfield, CT"
2664,Madison School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"Madison, CT"
2666,Manchester School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Alliance,0,1,14,1,0.0,2.0,0.0,2.0,"Manchester, CT"
2670,Mansfield School District,"PK, K, g1, g2, g3, g4","g5, g6, g7, g8",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,4,6,0.0,0.0,3.0,3.0,"Mansfield, CT"
2673,Marlborough School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Marlborough, CT"
2674,Meriden School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Alliance,0,1,4,10,0.0,0.0,3.0,3.0,"Meriden, CT"
2676,Middletown School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Alliance,0,1,14,1,0.0,2.0,0.0,2.0,"Middletown, CT"
2677,Milford School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Milford, CT"
2683,Monroe School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,7,7,0.0,0.0,0.0,0.0,"Monroe, CT"
2684,Montville School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,14,1,1,1.0,0.0,0.0,1.0,"Montville, CT"
2686,Naugatuck School District,"PK, K, g1, g2, g3, g4, g5, g6","g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Alliance,0,1,6,8,0.0,0.0,3.0,3.0,"Naugatuck, CT"
2688,New Britain School District,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Opportunity,0,1,13,1,0.0,2.0,0.0,2.0,"New Britain, CT"
2693,New Canaan School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"New Canaan, CT"
2694,New Fairfield School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,14,1,1,1.0,0.0,0.0,1.0,"New Fairfield, CT"
2695,New Hartford School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"New Hartford, CT"
2697,New Haven School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Opportunity,0,14,1,1,1.0,0.0,0.0,1.0,"New Haven, CT"
2700,Newington School District,"PK, K, g1, g2, g3, g4","g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,8,6,0.0,2.0,0.0,2.0,"Newington, CT"
2701,New London School District,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Opportunity,0,1,13,1,0.0,2.0,0.0,2.0,"New London, CT"
2704,New Milford School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"New Milford, CT"
2705,Newtown School District,"PK, K, g1, g2, g3, g4, g5, g6","g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,6,8,0.0,0.0,3.0,3.0,"Newtown, CT"
2706,Norfolk School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Norfolk, CT"
2707,North Branford School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"North Branford, CT"
2708,North Canaan School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"North Canaan, CT"
2709,North Haven School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"North Haven, CT"
2711,North Stonington School District,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,13,1,0.0,2.0,0.0,2.0,"North Stonington, CT"
2712,Norwalk School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Alliance,0,1,7,7,0.0,0.0,0.0,0.0,"Norwalk, CT"
2714,Norwich School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Opportunity,0,10,1,1,1.0,0.0,0.0,1.0,"Norwich, CT"
2716,Old Saybrook School District,"PK, K, g1, g2, g3, g4, g9, g10, g11, g12",N/A,"g5, g6, g7, g8",,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,4,1,10,0.0,0.0,3.0,3.0,"Old Saybrook, CT"
2718,Orange School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Orange, CT"
2721,Oxford School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"Oxford, CT"
2722,Plainfield School District,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,13,1,0.0,2.0,0.0,2.0,"Plainfield, CT"
2723,Plainville School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Plainville, CT"
2727,Plymouth School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Plymouth, CT"
2728,Pomfret School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,10,1,0.0,2.0,0.0,2.0,"Pomfret, CT"
2729,Portland School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Portland, CT"
2731,Preston School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,10,1,0.0,2.0,0.0,2.0,"Preston, CT"
2732,Putnam School District,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Alliance,0,1,13,1,0.0,2.0,0.0,2.0,"Putnam, CT"
2733,Redding School District,"PK, g1, g2, g3, g4, g5, g6, g7, g8",K,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,9,0.0,0.0,3.0,3.0,"Redding, CT"
2734,Ridgefield School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,7,7,0.0,0.0,0.0,0.0,"Ridgefield, CT"
2735,Rocky Hill School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Rocky Hill, CT"
2736,Salem School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Salem, CT"
2737,Salisbury School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Salisbury, CT"
2738,Scotland School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Scotland, CT"
2739,Seymour School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Seymour, CT"
2740,Sharon School District,"K, g1, g2, g3, g4",N/A,"g5, g6, g7, g8",,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,4,1,5,0.0,0.0,3.0,3.0,"Sharon, CT"
2741,Shelton School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Shelton, CT"
2742,Sherman School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Sherman, CT"
2743,Simsbury School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"Simsbury, CT"
2744,Somers School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,7,7,0.0,0.0,0.0,0.0,"Somers, CT"
2746,Southington School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"Southington, CT"
2747,South Windsor School District,"K, g1, g2, g3, g4, g5","PK, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,8,6,0.0,2.0,0.0,2.0,"South Windsor, CT"
2748,Sprague School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,10,1,0.0,2.0,0.0,2.0,"Sprague, CT"
2749,Stafford School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,7,7,0.0,0.0,0.0,0.0,"Stafford, CT"
2750,Stamford School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,Alliance,0,1,14,1,0.0,2.0,0.0,2.0,"Stamford, CT"
2755,Sterling School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Sterling, CT"
2756,Stonington School District,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,13,1,0.0,2.0,0.0,2.0,"Stonington, CT"
2757,Stratford School District,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,13,1,0.0,2.0,0.0,2.0,"Stratford, CT"
2759,Suffield School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Suffield, CT"
2760,Thomaston School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,,Public School Districts,"October 19, 2020 - October 23, 2020",2020-10-29T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Thomaston, CT"
